FNDDS code,FNDDS description,Species,FL Score,Weighted_Risk_Total,Weighted_Risk_Total_NOFEED,Notes
27450020,Lobster salad,Lobster,"Crustaceans, average (excluding shrimps)",6158,5812,
26311120,"Lobster, baked or broiled, fat added",Lobster,"Crustaceans, average (excluding shrimps)",6158,5812,
26311120,"Lobster, baked or broiled, fat added in cooking",Lobster,"Crustaceans, average (excluding shrimps)",6158,5812,
26311121,"Lobster, baked or broiled, no added fat",Lobster,"Crustaceans, average (excluding shrimps)",6158,5812,
26311140,"Lobster, coated, fried",Lobster,"Crustaceans, average (excluding shrimps)",6158,5812,
26311110,"Lobster, cooked, NS as to cooking method",Lobster,"Crustaceans, average (excluding shrimps)",6158,5812,
26311160,"Lobster, steamed or boiled",Lobster,"Crustaceans, average (excluding shrimps)",6158,5812,
26121120,"Mackerel, baked or broiled, fat added",Mackerel,"Pelagic, average (excluding tuna)",996,996,
26121120,"Mackerel, baked or broiled, fat added in cooking",Mackerel,"Pelagic, average (excluding tuna)",996,996,
26121121,"Mackerel, baked or broiled, fat not added in cooking",Mackerel,"Pelagic, average (excluding tuna)",996,996,
26121121,"Mackerel, baked or broiled, no added fat",Mackerel,"Pelagic, average (excluding tuna)",996,996,
26121140,"Mackerel, coated, fried",Mackerel,"Pelagic, average (excluding tuna)",996,996,
26121110,"Mackerel, cooked, NS as to cooking method",Mackerel,"Pelagic, average (excluding tuna)",996,996,
27250300,Mackerel cake or patty,Mackerel,"Pelagic, canned (excluding tuna)",1567,1567,
26121180,"Mackerel, canned",Mackerel,"Pelagic, canned (excluding tuna)",1567,1567,
26121160,"Mackerel, pickled",Mackerel,"Pelagic, cured (excluding tuna)",1089,1089,
26123120,"Mullet, baked or broiled, fat added in cooking",Mullet,"Pelagic, average (excluding tuna)",996,996,
26123121,"Mullet, baked or broiled, no added fat",Mullet,"Pelagic, average (excluding tuna)",996,996,
26123160,"Mullet, steamed or poached",Mullet,"Pelagic, average (excluding tuna)",996,996,
27350110,Bouillabaisse,Multiple,Mixed dish: Bouillabaisse,,,
27450660,"Shellfish mixture and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, mushroom sauce",Multiple,Mixed dish: Shellfish mixture 1,4100.5,3912,
27450600,"Shellfish mixture and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",Multiple,Mixed dish: Shellfish mixture 2,4100.5,3912,
27250410,Shrimp with crab stuffing,Multiple,Mixed dish: Shrimp with crab stuffing,5147,4472,
27150160,Shrimp with lobster sauce,Multiple,Mixed dish: Shrimp with lobster sauce,5147,4472,
27150330,Mussels with tomato-based sauce,Mussels,"Molluscs, average",2043,2012,
26313110,"Mussels, cooked, NS as to cooking method",Mussels,"Molluscs, average",2043,2012,
26313100,"Mussels, raw",Mussels,"Molluscs, average",2043,2012,
26313160,"Mussels, steamed or poached",Mussels,"Molluscs, average",2043,2012,
26125120,"Ocean perch, baked or broiled, fat added",Ocean perch,"Demersal, average",1306,1306,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26125120,"Ocean perch, baked or broiled, fat added in cooking",Ocean perch,"Demersal, average",1306,1306,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26125121,"Ocean perch, baked or broiled, fat not added in cooking",Ocean perch,"Demersal, average",1306,1306,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26125160,"Ocean perch, steamed or poached",Ocean perch,"Demersal, average",1306,1306,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26205110,"Octopus, cooked, NS as to cooking method",Octopus,"Cephalopods, average",5846,5846,
26205160,"Octopus, steamed",Octopus,"Cephalopods, average",5846,5846,
27450250,Oysters Rockefeller,Oysters,"Molluscs, average",2043,2012,
26315120,"Oysters, baked or broiled, fat added",Oysters,"Molluscs, average",2043,2012,
26315121,"Oysters, baked or broiled, no added fat",Oysters,"Molluscs, average",2043,2012,
26315140,"Oysters, coated, fried",Oysters,"Molluscs, average",2043,2012,
26315110,"Oysters, cooked, NS as to cooking method",Oysters,"Molluscs, average",2043,2012,
26315100,"Oysters, raw",Oysters,"Molluscs, average",2043,2012,
26315130,"Oysters, steamed",Oysters,"Molluscs, average",2043,2012,
27150200,Oyster sauce,Oysters,"Molluscs, canned",2263,2220,Producers most likely use canned oysters to make oyster sauce
28520100,Oyster sauce,Oysters,"Molluscs, canned",2263,2220,Producers most likely use canned oysters to make oyster sauce
28355310,Oyster stew,Oysters,"Molluscs, canned",2263,2220,Producers most likely use canned oysters to make oyster sauce
28520100,Oyster-flavored sauce,Oysters,"Molluscs, canned",2263,2220,Producers most likely use canned oysters to make oyster sauce
26315190,"Oysters, smoked",Oysters,"Molluscs, cured",1110,1072,
26127121,"Perch, baked or broiled, made with butter",Perch,"Freshwater, average (excluding tilapia)",751,737,
26127120,"Perch, baked or broiled, made with oil",Perch,"Freshwater, average (excluding tilapia)",751,737,
26127130,"Perch, coated, baked or broiled, made with oil",Perch,"Freshwater, average (excluding tilapia)",751,737,
26127140,"Perch, coated, fried, made with oil",Perch,"Freshwater, average (excluding tilapia)",751,737,
26127143,"Perch, coated, fried, no added fat",Perch,"Freshwater, average (excluding tilapia)",751,737,
26127110,"Perch, cooked, NS as to cooking method",Perch,"Freshwater, average (excluding tilapia)",751,737,
26127160,"Perch, steamed or poached",Perch,"Freshwater, average (excluding tilapia)",751,737,
26131120,"Pompano, baked or broiled, fat added",Pompano,"Pelagic, average (excluding tuna)",996,996,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
